r2,a=0.10,a=0.05,a=0.01
-0.99,17.03964648,23.05274599,35.03632566
-0.98,19.25966057,26.24736716,40.21433999
-0.97,20.92622393,28.64971355,44.12116304
-0.96,22.33978221,30.6901158,47.4480224
-0.95,23.60655555,32.52076847,50.43959379
-0.94,24.77800768,34.21545605,53.21457162
-0.93,25.88352037,35.8163063,55.84082193
-0.92,26.94170514,37.35005122,58.3614111
-0.91,27.96525807,38.83490313,60.80577286
-0.9,28.96330595,40.28400086,63.19516871
-0.89,29.94275986,41.70725304,65.5456377
-0.88,30.90896348,43.11240387,67.86979554
-0.87,31.86625056,44.50569157,70.17784273
-0.86,32.81819763,45.89230516,72.47823457
-0.85,33.76785549,47.27664338,74.77826087
-0.84,34.71783999,48.66252252,77.08422571
-0.83,35.670485,50.05336172,79.40180141
-0.82,36.62788071,51.45223311,81.73613666
-0.81,37.59197276,52.8619464,84.09199089
-0.8,38.56455927,54.28515279,86.47385926
-0.79,39.54731791,55.72438859,88.88605057
-0.78,40.5419094,57.18205566,91.33271452
-0.77,41.54990158,58.66053196,93.81792744
-0.76,42.57284398,60.16213845,96.34574554
-0.75,43.61231392,61.68917112,98.9202425
-0.74,44.66982527,63.2440007,101.5455109
-0.73,45.7469668,64.8289422,104.2257033
-0.72,46.84532689,66.44643941,106.9651348
-0.71,47.9665255,68.09895176,109.7682136
-0.7,49.1122393,69.78903299,112.6394978
-0.69,50.28423547,71.51931879,115.5838275
-0.68,51.4842641,73.29261794,118.6061782
-0.67,52.71429773,75.1117809,121.7118375
-0.66,53.97625829,76.97988797,124.9063308
-0.65,55.27227464,78.90015406,128.1955666
-0.64,56.60452797,80.87597221,131.5858205
-0.63,57.97538522,82.91095953,135.0837173
-0.62,59.38730811,85.00893332,138.6963912
-0.61,60.84295698,87.17406941,142.4314336
-0.6,62.34516613,89.41073712,146.2969752
-0.59,63.89698539,91.72358699,150.3019134
-0.58,65.50162306,94.11779418,154.4555992
-0.57,67.1625899,96.59870957,158.7683527
-0.56,68.88371343,99.17233466,163.251159
-0.55,70.66898245,101.8449359,167.9161207
-0.54,72.52283433,104.6234969,172.7761599
-0.53,74.45007346,107.5154901,177.8456547
-0.52,76.45585744,110.5291142,183.1400097
-0.51,78.54589605,113.673268,188.6762343
-0.5,80.72630509,116.9577698,194.4729983
-0.49,83.00392254,120.3932653,200.5506997
-0.48,85.38613533,123.9915094,206.9319327
-0.47,87.88110286,127.7654198,213.6415645
-0.46,90.49781115,131.7293555,220.7071765
-0.45,93.2461906,135.8990976,228.1592428
-0.44,96.13726458,140.292258,236.031859
-0.43,99.18323696,144.9282373,244.3630228
-0.42,102.3977474,149.8289253,253.1950947
-0.41,105.7959375,155.0187128,262.575768
-0.4,109.394989,160.5250689,272.5587038
-0.39,113.2139916,166.3787141,283.2044269
-0.38,117.2745512,172.6147312,294.5818281
-0.37,121.6013038,179.2726214,306.7687771
-0.36,126.2219935,186.39744,319.8545617
-0.35,131.1683606,194.040917,333.9415759
-0.34,136.477071,202.2622435,349.1473887
-0.33,142.1898995,211.1298281,365.608159
-0.32,148.3555452,220.722837,383.4819817
-0.31,155.0303451,231.1338137,402.9532627
-0.3,162.2806151,242.4709141,424.2390397
-0.29,170.1838755,254.861623,447.5947437
-0.28,178.8322935,268.4572394,473.3240991
-0.27,188.3354963,283.4382595,501.7895351
-0.26,198.8252393,300.0219301,533.4272602
-0.25,210.4610072,318.4710662,568.7661649
-0.24,223.4372205,339.1071463,608.4514575
-0.23,237.9935363,362.325808,653.277223
-0.22,254.4278533,388.6191396,704.2309015
-0.21,273.1154448,418.6070813,762.5495243
-0.2,294.5329911,453.0759639,829.8011132
-0.19,319.2957774,493.0391462,907.9959358
-0.18,348.2081067,539.8158271,999.7421194
-0.17,382.3380313,595.1553602,1108.468748
-0.16,423.1291265,661.4064215,1238.755907
-0.15,472.5671297,741.784625,1396.817905
-0.14,533.4469561,840.7723739,1591.25642
-0.13,609.790387,964.768192,1834.197029
-0.12,707.5328326,1123.112743,2143.202543
-0.11,835.7004381,1329.825978,2544.372182
-0.1,1008.509108,1606.748464,3078.293157
-0.09,1249.016585,1988.880469,3807.779802
-0.08,1596.867041,2535.513572,4841.251783
-0.07,2123.407357,3352.525294,6368.896024
-0.06,2966.97632,4643.494999,8754.483556
-0.05,4422.566644,6839.752803,12765.08562
-0.04,7208.063564,10985.66065,20247.94055
-0.03,13453.74619,20164.19346,36632.10763
-0.02,31939.43603,47019.12633,84062.72686
-0.01,135241.3766,195518.2901,343684.9994
