r2,a=0.10,a=0.05,a=0.01
-0.99,142.216738,148.9932916,162.4672635
-0.98,164.1195897,172.1131911,188.0431641
-0.97,180.5335431,189.4636586,207.2891252
-0.96,194.4351234,204.1743638,223.6411904
-0.95,206.8763132,217.3518593,238.3151112
-0.94,218.366585,229.5321963,251.9002337
-0.93,229.1966915,241.0214031,264.7331802
-0.92,239.5506458,252.0132494,277.0273272
-0.91,249.5537432,262.6397476,288.9281597
-0.9,259.2961307,272.9959049,300.5405612
-0.89,268.8454631,283.1531459,311.9434339
-0.88,278.2544873,293.1671518,323.1984751
-0.87,287.5654886,303.0826344,334.3553005
-0.86,296.8133758,312.9365258,345.4550395
-0.85,306.0275535,322.7600801,356.5325795
-0.84,315.2334728,332.5802739,367.6181267
-0.83,324.4534772,342.4208865,378.7384478
-0.82,333.7076021,352.3033246,389.9177145
-0.81,343.014118,362.2471237,401.1780311
-0.8,352.3899589,372.2703683,412.5400804
-0.79,361.8510164,382.3901787,424.0233628
-0.78,371.4123979,392.6227963,435.6465948
-0.77,381.0887247,402.9839944,447.4279717
-0.76,390.8942123,413.4891571,459.3853629
-0.75,400.8428725,424.1534864,471.5363917
-0.74,410.948609,434.9920719,483.8988027
-0.73,421.2254355,446.0201408,496.4904011
-0.72,431.6874008,457.2530819,509.3293532
-0.71,442.3488595,468.7065752,522.4341551
-0.7,453.2245061,480.3966751,535.8238405
-0.69,464.3294428,492.3399374,549.5181933
-0.68,475.6792315,504.553478,563.537659
-0.67,487.2901411,517.0551804,577.9035008
-0.66,499.1790036,529.8636651,592.6381087
-0.65,511.3635321,542.9983841,607.7649896
-0.64,523.8622506,556.4799277,623.3087505
-0.63,536.6947953,570.3298986,639.2956239
-0.62,549.8817324,584.5710423,655.7532736
-0.61,563.4449519,599.2277596,672.7111385
-0.6,577.4077059,614.3257274,690.2004013
-0.59,591.7945721,629.8924471,708.2546535
-0.58,606.6319239,645.9570879,726.9095712
-0.57,621.9478649,662.5510304,746.203461
-0.56,637.7725346,679.7078217,766.1774074
-0.55,654.1382162,697.4634569,786.8756338
-0.54,671.0797013,715.8568822,808.3459143
-0.53,688.6342793,734.92983,830.6398281
-0.52,706.842419,754.7274683,853.8130349
-0.51,725.7476463,775.298762,877.925929
-0.5,745.3974206,796.6966722,903.0442779
-0.49,765.8428857,818.9787963,929.2397058
-0.48,787.1399651,842.2078873,956.5899657
-0.47,809.3493904,866.4524467,985.1804515
-0.46,832.537682,891.7872798,1015.104574
-0.45,856.7775051,918.2943713,1046.464735
-0.44,882.1486441,946.0636406,1079.373919
-0.43,908.7388953,975.194481,1113.956269
-0.42,936.6447118,1005.795888,1150.349727
-0.41,965.9729884,1037.989015,1188.706367
-0.4,996.8419372,1071.908118,1229.196174
-0.39,1029.382936,1107.702061,1272.007546
-0.38,1063.742104,1145.537243,1317.351785
-0.37,1100.082938,1185.599892,1365.465793
-0.36,1138.588622,1228.098547,1416.615382
-0.35,1179.46474,1273.268342,1471.101362
-0.34,1222.943406,1321.374535,1529.263905
-0.33,1269.287485,1372.718208,1591.48981
-0.32,1318.795462,1427.641823,1658.220511
-0.31,1371.807942,1486.536882,1729.96244
-0.3,1428.71562,1549.852802,1807.298102
-0.29,1489.967847,1618.10808,1890.901724
-0.28,1556.084679,1691.903224,1981.556901
-0.27,1627.670816,1771.938395,2080.181091
-0.26,1705.433645,1859.034682,2187.851254
-0.25,1790.205398,1954.158734,2305.844331
-0.24,1882.972472,2058.459683,2435.679711
-0.23,1984.910547,2173.311158,2579.182836
-0.22,2097.433389,2300.368083,2738.563585
-0.21,2222.254591,2441.641647,2916.516078
-0.2,2361.471243,2599.599596,3116.364877
-0.19,2517.673685,2777.300252,3342.246723
-0.18,2694.099343,2978.577443,3599.376022
-0.17,2894.843341,3208.29485,3894.403252
-0.16,3125.157068,3472.715585,4235.941414
-0.15,3391.882683,3780.024371,4635.3126
-0.14,3704.086095,4141.112525,5107.689959
-0.13,4074.021595,4570.771357,5673.806634
-0.12,4518.640181,5089.545542,6362.688889
-0.11,5062.015768,5726.773875,7216.108494
-0.1,5739.412653,6525.666861,8296.10659
-0.09,6604.455853,7552.324079,9698.520814
-0.08,7742.436273,8912.616293,11578.32254
-0.07,9296.80193,10785.89519,14201.08557
-0.06,11526.59047,13498.846,18056.35309
-0.05,14945.4782,17705.52238,24137.71244
-0.04,20712.83834,24898.72336,34747.64974
-0.03,31999.29115,39214.93214,56378.36653
-0.02,60737.33191,76477.3787,114375.5482
-0.01,195424.982,256620.3265,405852.4378
