Alpha,Corr,r2,ztrans2,zc,N2
0.1,EXP:SAT,-0.99,-2.646652412,0.063617984,259.4896371
0.1,EXP:SAT,-0.98,-2.297559925,0.061863894,297.9359711
0.1,EXP:SAT,-0.97,-2.09229572,0.06065264,326.4531794
0.1,EXP:SAT,-0.96,-1.945910149,0.059688073,350.4152431
0.1,EXP:SAT,-0.95,-1.831780823,0.058868183,371.7163434
0.1,EXP:SAT,-0.94,-1.738049345,0.058144478,391.2717699
0.1,EXP:SAT,-0.93,-1.65839002,0.057489789,409.6025386
0.1,EXP:SAT,-0.92,-1.589026915,0.056887176,427.0375404
0.1,EXP:SAT,-0.91,-1.527524425,0.056325323,443.7999228
0.1,EXP:SAT,-0.9,-1.47221949,0.055796251,460.0494959
0.1,EXP:SAT,-0.89,-1.421925871,0.055294095,475.9056797
0.1,EXP:SAT,-0.88,-1.375767657,0.054814423,491.4608493
0.1,EXP:SAT,-0.87,-1.33307963,0.054353763,506.788602
0.1,EXP:SAT,-0.86,-1.293344672,0.053909375,521.949057
0.1,EXP:SAT,-0.85,-1.256152812,0.053479016,536.9924624
0.1,EXP:SAT,-0.84,-1.221173518,0.053060856,551.9616525
0.1,EXP:SAT,-0.83,-1.188136404,0.052653347,566.8938421
0.1,EXP:SAT,-0.82,-1.156817465,0.052255193,581.8219059
0.1,EXP:SAT,-0.81,-1.127029026,0.051865286,596.7753488
0.1,EXP:SAT,-0.8,-1.098612289,0.05148266,611.7810614
0.1,EXP:SAT,-0.79,-1.071431684,0.051106478,626.8638774
0.1,EXP:SAT,-0.78,-1.045370548,0.050735992,642.0470498
0.1,EXP:SAT,-0.77,-1.020327758,0.050370567,657.3525752
0.1,EXP:SAT,-0.76,-0.996215082,0.050009604,672.8015554
0.1,EXP:SAT,-0.75,-0.972955075,0.049652594,688.4143895
0.1,EXP:SAT,-0.74,-0.950479381,0.049299048,704.2110403
0.1,EXP:SAT,-0.73,-0.928727364,0.048948526,720.2111881
0.1,EXP:SAT,-0.72,-0.907644983,0.048600666,736.4343486
0.1,EXP:SAT,-0.71,-0.887183863,0.048255054,752.9001642
0.1,EXP:SAT,-0.7,-0.867300528,0.047911387,769.6283374
0.1,EXP:SAT,-0.69,-0.847955755,0.047569355,786.6388922
0.1,EXP:SAT,-0.68,-0.829114038,0.047228636,803.9523007
0.1,EXP:SAT,-0.67,-0.810743125,0.046888967,821.5895
0.1,EXP:SAT,-0.66,-0.792813632,0.046550075,839.5720881
0.1,EXP:SAT,-0.65,-0.775298706,0.046211739,857.9223536
0.1,EXP:SAT,-0.64,-0.758173745,0.045873676,876.6635514
0.1,EXP:SAT,-0.63,-0.741416144,0.045535688,895.8197983
0.1,EXP:SAT,-0.62,-0.725005088,0.045197552,915.4163584
0.1,EXP:SAT,-0.61,-0.708921359,0.044859056,935.4797178
0.1,EXP:SAT,-0.6,-0.693147181,0.044519985,956.0377359
0.1,EXP:SAT,-0.59,-0.677666068,0.044180115,977.1198183
0.1,EXP:SAT,-0.58,-0.662462707,0.043839275,998.7569364
0.1,EXP:SAT,-0.57,-0.647522845,0.043497277,1020.981937
0.1,EXP:SAT,-0.56,-0.632833187,0.043153885,1043.829786
0.1,EXP:SAT,-0.55,-0.618381314,0.042808934,1067.337537
0.1,EXP:SAT,-0.54,-0.604155603,0.042462223,1091.544755
0.1,EXP:SAT,-0.53,-0.59014516,0.042113576,1116.493649
0.1,EXP:SAT,-0.52,-0.576339755,0.041762764,1142.229495
0.1,EXP:SAT,-0.51,-0.562729769,0.041409618,1168.800693
0.1,EXP:SAT,-0.5,-0.549306144,0.041053915,1196.25936
0.1,EXP:SAT,-0.49,-0.536060337,0.040695481,1224.661439
0.1,EXP:SAT,-0.48,-0.522984278,0.040334098,1254.067358
0.1,EXP:SAT,-0.47,-0.510070337,0.039969552,1284.542374
0.1,EXP:SAT,-0.46,-0.497311288,0.039601625,1316.157114
0.1,EXP:SAT,-0.45,-0.484700279,0.039230087,1348.988188
0.1,EXP:SAT,-0.44,-0.472230804,0.038854723,1383.118778
0.1,EXP:SAT,-0.43,-0.459896681,0.038475306,1418.639466
0.1,EXP:SAT,-0.42,-0.447692024,0.038091555,1455.649266
0.1,EXP:SAT,-0.41,-0.435611223,0.037703244,1494.256221
0.1,EXP:SAT,-0.4,-0.42364893,0.037310073,1534.579001
0.1,EXP:SAT,-0.39,-0.411800034,0.036911793,1576.747734
0.1,EXP:SAT,-0.38,-0.40005965,0.03650811,1620.905864
0.1,EXP:SAT,-0.37,-0.3884231,0.036098695,1667.21189
0.1,EXP:SAT,-0.36,-0.376885901,0.035683219,1715.841216
0.1,EXP:SAT,-0.35,-0.365443754,0.035261345,1766.988549
0.1,EXP:SAT,-0.34,-0.354092529,0.034832728,1820.870613
0.1,EXP:SAT,-0.33,-0.342828254,0.034396949,1877.72982
0.1,EXP:SAT,-0.32,-0.331647109,0.033953589,1937.837665
0.1,EXP:SAT,-0.31,-0.320545409,0.033502229,2001.499313
0.1,EXP:SAT,-0.3,-0.309519604,0.033042382,2069.059421
0.1,EXP:SAT,-0.29,-0.298566264,0.032573536,2140.90847
0.1,EXP:SAT,-0.28,-0.287682072,0.032095143,2217.490738
0.1,EXP:SAT,-0.27,-0.276863823,0.031606604,2299.314002
0.1,EXP:SAT,-0.26,-0.266108407,0.031107249,2386.96154
0.1,EXP:SAT,-0.25,-0.255412812,0.030596402,2481.10605
0.1,EXP:SAT,-0.24,-0.244774113,0.030073276,2582.528561
0.1,EXP:SAT,-0.23,-0.234189467,0.029537003,2692.140896
0.1,EXP:SAT,-0.22,-0.223656109,0.028986675,2811.01359
0.1,EXP:SAT,-0.21,-0.213171347,0.028421223,2940.413747
0.1,EXP:SAT,-0.2,-0.202732554,0.027839513,3081.850825
0.1,EXP:SAT,-0.19,-0.192337169,0.027240219,3237.139528
0.1,EXP:SAT,-0.18,-0.181982689,0.026621888,3408.479746
0.1,EXP:SAT,-0.17,-0.171666664,0.025982855,3598.566276
0.1,EXP:SAT,-0.16,-0.161386696,0.025321217,3810.736522
0.1,EXP:SAT,-0.15,-0.151140436,0.024634776,4049.175473
0.1,EXP:SAT,-0.14,-0.140925576,0.023920985,4319.204301
0.1,EXP:SAT,-0.13,-0.13073985,0.023176843,4627.696677
0.1,EXP:SAT,-0.12,-0.120581028,0.022398783,4983.693254
0.1,EXP:SAT,-0.11,-0.110446916,0.02158249,5399.334943
0.1,EXP:SAT,-0.1,-0.100335348,0.020722672,5891.326467
0.1,EXP:SAT,-0.09,-0.090244188,0.019812735,6483.319604
0.1,EXP:SAT,-0.08,-0.080171325,0.018844254,7209.977434
0.1,EXP:SAT,-0.07,-0.070114671,0.017806098,8124.298016
0.1,EXP:SAT,-0.06,-0.060072156,0.016683149,9311.717112
0.1,EXP:SAT,-0.05,-0.050041729,0.015453824,10919.77014
0.1,EXP:SAT,-0.04,-0.040021354,0.014085334,13228.0512
0.1,EXP:SAT,-0.03,-0.030009005,0.012523282,16842.14354
0.1,EXP:SAT,-0.02,-0.020002667,0.010663864,23382.66923
0.1,EXP:SAT,-0.01,-0.010000333,0.008249854,39343.3062
0.05,EXP:SAT,-0.99,-2.646652412,0.075978165,256.454832
0.05,EXP:SAT,-0.98,-2.297559925,0.073903201,294.3470395
0.05,EXP:SAT,-0.97,-2.09229572,0.072470165,322.4383174
0.05,EXP:SAT,-0.96,-1.945910149,0.07132884,346.0329284
0.05,EXP:SAT,-0.95,-1.831780823,0.070358604,367.0002015
0.05,EXP:SAT,-0.94,-1.738049345,0.069502128,386.2433061
0.05,EXP:SAT,-0.93,-1.65839002,0.068727257,404.276311
0.05,EXP:SAT,-0.92,-1.589026915,0.06801399,421.4236572
0.05,EXP:SAT,-0.91,-1.527524425,0.067348917,437.9054608
0.05,EXP:SAT,-0.9,-1.47221949,0.066722616,453.8793147
0.05,EXP:SAT,-0.89,-1.421925871,0.066128151,469.4629583
0.05,EXP:SAT,-0.88,-1.375767657,0.065560262,484.7474519
0.05,EXP:SAT,-0.87,-1.33307963,0.06501486,499.8053038
0.05,EXP:SAT,-0.86,-1.293344672,0.064488702,514.6957262
0.05,EXP:SAT,-0.85,-1.256152812,0.063979123,529.468198
0.05,EXP:SAT,-0.84,-1.221173518,0.063483971,544.164855
0.05,EXP:SAT,-0.83,-1.188136404,0.063001407,558.8223034
0.05,EXP:SAT,-0.82,-1.156817465,0.062529907,573.4728395
0.05,EXP:SAT,-0.81,-1.127029026,0.062068158,588.1454433
0.05,EXP:SAT,-0.8,-1.098612289,0.061614999,602.8665157
0.05,EXP:SAT,-0.79,-1.071431684,0.061169462,617.6603896
0.05,EXP:SAT,-0.78,-1.045370548,0.060730669,632.5498392
0.05,EXP:SAT,-0.77,-1.020327758,0.060297836,647.556426
0.05,EXP:SAT,-0.76,-0.996215082,0.059870288,662.7007595
0.05,EXP:SAT,-0.75,-0.972955075,0.059447381,678.0028098
0.05,EXP:SAT,-0.74,-0.950479381,0.059028582,693.4820266
0.05,EXP:SAT,-0.73,-0.928727364,0.058613362,709.1576174
0.05,EXP:SAT,-0.72,-0.907644983,0.058201248,725.0486484
0.05,EXP:SAT,-0.71,-0.887183863,0.057791809,741.1741933
0.05,EXP:SAT,-0.7,-0.867300528,0.057384651,757.5534631
0.05,EXP:SAT,-0.69,-0.847955755,0.056979402,774.2059375
0.05,EXP:SAT,-0.68,-0.829114038,0.056575708,791.1514844
0.05,EXP:SAT,-0.67,-0.810743125,0.056173261,808.4104259
0.05,EXP:SAT,-0.66,-0.792813632,0.055771717,826.0037587
0.05,EXP:SAT,-0.65,-0.775298706,0.055370788,843.953134
0.05,EXP:SAT,-0.64,-0.758173745,0.054970207,862.2810084
0.05,EXP:SAT,-0.63,-0.741416144,0.054569682,881.0108235
0.05,EXP:SAT,-0.62,-0.725005088,0.054168961,900.1670305
0.05,EXP:SAT,-0.61,-0.708921359,0.053767805,919.7752432
0.05,EXP:SAT,-0.6,-0.693147181,0.05336596,939.8624157
0.05,EXP:SAT,-0.59,-0.677666068,0.052963163,960.4569794
0.05,EXP:SAT,-0.58,-0.662462707,0.052559194,981.5888941
0.05,EXP:SAT,-0.57,-0.647522845,0.052153833,1003.28988
0.05,EXP:SAT,-0.56,-0.632833187,0.05174682,1025.593683
0.05,EXP:SAT,-0.55,-0.618381314,0.051337945,1048.536078
0.05,EXP:SAT,-0.54,-0.604155603,0.050926969,1072.155245
0.05,EXP:SAT,-0.53,-0.59014516,0.050513661,1096.49193
0.05,EXP:SAT,-0.52,-0.576339755,0.050097812,1121.589653
0.05,EXP:SAT,-0.51,-0.562729769,0.049679149,1147.495204
0.05,EXP:SAT,-0.5,-0.549306144,0.049257472,1174.258631
0.05,EXP:SAT,-0.49,-0.536060337,0.048832525,1201.933898
0.05,EXP:SAT,-0.48,-0.522984278,0.048404067,1230.579125
0.05,EXP:SAT,-0.47,-0.510070337,0.047971858,1260.257034
0.05,EXP:SAT,-0.46,-0.497311288,0.047535607,1291.035625
0.05,EXP:SAT,-0.45,-0.484700279,0.047095079,1322.988407
0.05,EXP:SAT,-0.44,-0.472230804,0.046650007,1356.195302
0.05,EXP:SAT,-0.43,-0.459896681,0.04620008,1390.743412
0.05,EXP:SAT,-0.42,-0.447692024,0.045745035,1426.727531
0.05,EXP:SAT,-0.41,-0.435611223,0.045284548,1464.251456
0.05,EXP:SAT,-0.4,-0.42364893,0.044818307,1503.428806
0.05,EXP:SAT,-0.39,-0.411800034,0.044345986,1544.384342
0.05,EXP:SAT,-0.38,-0.40005965,0.043867218,1587.255509
0.05,EXP:SAT,-0.37,-0.3884231,0.043381633,1632.193924
0.05,EXP:SAT,-0.36,-0.376885901,0.042888881,1679.367164
0.05,EXP:SAT,-0.35,-0.365443754,0.042388507,1728.961582
0.05,EXP:SAT,-0.34,-0.354092529,0.041880102,1781.184202
0.05,EXP:SAT,-0.33,-0.342828254,0.041363197,1836.266303
0.05,EXP:SAT,-0.32,-0.331647109,0.040837313,1894.466769
0.05,EXP:SAT,-0.31,-0.320545409,0.040301892,1956.076824
0.05,EXP:SAT,-0.3,-0.309519604,0.03975639,2021.424568
0.05,EXP:SAT,-0.29,-0.298566264,0.03920021,2090.881564
0.05,EXP:SAT,-0.28,-0.287682072,0.038632674,2164.870482
0.05,EXP:SAT,-0.27,-0.276863823,0.038053074,2243.87377
0.05,EXP:SAT,-0.26,-0.266108407,0.037460663,2328.444709
0.05,EXP:SAT,-0.25,-0.255412812,0.036854568,2419.221738
0.05,EXP:SAT,-0.24,-0.244774113,0.036233891,2516.944468
0.05,EXP:SAT,-0.23,-0.234189467,0.035597633,2622.475336
0.05,EXP:SAT,-0.22,-0.223656109,0.034944648,2736.826814
0.05,EXP:SAT,-0.21,-0.213171347,0.03427372,2861.194411
0.05,EXP:SAT,-0.2,-0.202732554,0.033583484,2997.001133
0.05,EXP:SAT,-0.19,-0.192337169,0.032872373,3145.95502
0.05,EXP:SAT,-0.18,-0.181982689,0.032138663,3310.12349
0.05,EXP:SAT,-0.17,-0.171666664,0.031380373,3492.034747
0.05,EXP:SAT,-0.16,-0.161386696,0.03059527,3694.813572
0.05,EXP:SAT,-0.15,-0.151140436,0.029780734,3922.371167
0.05,EXP:SAT,-0.14,-0.140925576,0.028933748,4179.669022
0.05,EXP:SAT,-0.13,-0.13073985,0.028050772,4473.10002
0.05,EXP:SAT,-0.12,-0.120581028,0.027127556,4811.050446
0.05,EXP:SAT,-0.11,-0.110446916,0.026159041,5204.745002
